IRIS;COM;LAB_IRIS;P22_POP1564;P22_POP1524;P22_POP2554;P22_POP5564;P22_H1564;P22_H1524;P22_H2554;P22_H5564;P22_F1564;P22_F1524;P22_F2554;P22_F5564;P22_ACT1564;P22_ACT1524;P22_ACT2554;P22_ACT5564;P22_HACT1564;P22_HACT1524;P22_HACT2554;P22_HACT5564;P22_FACT1564;P22_FACT1524;P22_FACT2554;P22_FACT5564;P22_ACTOCC1564;P22_ACTOCC1524;P22_ACTOCC2554;P22_ACTOCC5564;P22_HACTOCC1564;P22_HACTOCC1524;P22_HACTOCC2554;P22_HACTOCC5564;P22_FACTOCC1564;P22_FACTOCC1524;P22_FACTOCC2554;P22_CHOM_CAPBEP;P22_FACTOCC5564;P22_CHOM_BAC;P22_CHOM1564;P22_CHOM_SUP2;P22_CHOM1524;P22_CHOM_SUP34;P22_CHOM2554;P22_CHOM_SUP5;P22_CHOM5564;P22_ACT_DIPLMIN;P22_CHOM_DIPLMIN;P22_ACT_BEPC;P22_CHOM_BEPC;P22_ACT_CAPBEP;P22_ACT_BAC;P22_ACT_SUP2;P22_ACT_SUP34;P22_ACT_SUP5;P22_INACT1564;P22_HINACT1564;P22_FINACT1564;P22_ETUD1564;P22_HETUD1564;P22_FETUD1564;P22_RETR1564;P22_HRETR1564;P22_FRETR1564;P22_AINACT1564;P22_HAINACT1564;P22_FAINACT1564;C22_ACT1564_STAT_GSEC11_21;C22_ACT1564_STAT_GSEC12_22;C22_ACT1564_STAT_GSEC13_23;C22_ACT1564_STAT_GSEC14_24;C22_ACT1564_STAT_GSEC15_25;C22_ACT1564_STAT_GSEC16_26;C22_ACTOCC1564;C22_ACTOCC1564_STAT_GSEC11;C22_ACTOCC1564_STAT_GSEC12;C22_ACTOCC1564_STAT_GSEC13;C22_ACTOCC1564_STAT_GSEC14;C22_ACTOCC1564_STAT_GSEC15;C22_ACTOCC1564_STAT_GSEC16;P22_ACTOCC15P;P22_HACTOCC15P;P22_FACTOCC15P;P22_SAL15P;P22_HSAL15P;P22_FSAL15P;P22_NSAL15P;P22_HNSAL15P;P22_FNSAL15P;P22_ACTOCC15P_TP;P22_SAL15P_TP;P22_HSAL15P_TP;P22_FSAL15P_TP;P22_NSAL15P_TP;P22_SAL15P_CDI;P22_SAL15P_CDD;P22_SAL15P_INTERIM;P22_SAL15P_EMPAID;P22_SAL15P_APPR;P22_NSAL15P_INDEP;P22_NSAL15P_EMPLOY;P22_NSAL15P_AIDFAM;P22_ACTOCC15P_ILT1;P22_ACTOCC15P_ILT2P;P22_ACTOCC15P_ILT2;P22_ACTOCC15P_ILT4;P22_ACTOCC15P_ILT5;C22_ACTOCC15P;C22_ACTOCC15P_PAS;C22_ACTOCC15P_MAR;C22_ACTOCC15P_VELO;C22_ACTOCC15P_2ROUESMOT;C22_ACTOCC15P_VOIT;C22_ACTOCC15P_TCOM
975010000;97501;5;373.000;38.000;236.000;99.000;191.000;20.000;122.000;49.000;182.000;18.000;114.000;50.000;300.000;22.000;223.000;55.000;161.000;14.000;119.000;28.000;139.000;8.000;104.000;27.000;279.000;17.000;210.000;52.000;154.000;10.000;117.000;27.000;125.000;7.000;93.000;5.000;25.000;6.000;21.000;1.000;5.000;3.000;13.000;1.000;3.000;44.000;4.000;16.000;1.000;118.000;69.000;18.000;17.000;18.000;73.000;30.000;43.000;16.000;6.000;10.000;26.000;19.000;7.000;31.000;5.000;26.000;6.000;18.000;14.000;66.000;104.000;92.000;279.000;6.000;18.000;14.000;62.000;98.000;81.000;287.000;158.000;129.000;253.000;145.000;108.000;34.000;13.000;21.000;36.000;31.000;12.000;19.000;5.000;209.000;44.000;0.000;0.000;0.000;11.000;23.000;0.000;258.000;29.000;29.000;0.000;0.000;287.000;11.000;54.000;7.000;2.000;210.000;3.000
975020101;97502;4;1600.000;200.000;1031.000;369.000;808.000;100.000;519.000;189.000;792.000;100.000;512.000;180.000;1350.000;97.000;994.000;259.000;696.000;50.000;506.000;140.000;654.000;47.000;488.000;119.000;1280.000;79.000;948.000;253.000;660.000;38.000;485.000;137.000;620.000;41.000;463.000;20.000;116.000;13.000;70.000;9.000;18.000;7.000;46.000;8.000;6.000;91.000;8.000;43.000;5.000;385.000;317.000;165.000;202.000;147.000;250.000;112.000;138.000;101.000;50.000;51.000;86.000;47.000;39.000;63.000;15.000;48.000;5.000;79.000;232.000;340.000;453.000;238.000;1280.000;4.000;77.000;228.000;326.000;430.000;215.000;1299.000;671.000;628.000;1168.000;588.000;580.000;131.000;83.000;48.000;142.000;128.000;32.000;96.000;14.000;967.000;199.000;0.000;1.000;1.000;60.000;69.000;2.000;1292.000;7.000;2.000;5.000;0.000;1299.000;55.000;434.000;45.000;7.000;757.000;1.000
975020102;97502;4;1802.000;213.000;1103.000;486.000;902.000;111.000;539.000;252.000;900.000;102.000;564.000;234.000;1435.000;76.000;1067.000;292.000;732.000;46.000;522.000;164.000;703.000;30.000;545.000;128.000;1389.000;67.000;1039.000;283.000;706.000;40.000;506.000;160.000;683.000;27.000;533.000;18.000;123.000;7.000;46.000;3.000;9.000;4.000;28.000;1.000;9.000;128.000;9.000;46.000;4.000;468.000;342.000;160.000;154.000;137.000;367.000;170.000;197.000;131.000;62.000;69.000;160.000;83.000;77.000;76.000;25.000;51.000;3.000;92.000;222.000;380.000;471.000;266.000;1389.000;3.000;91.000;220.000;372.000;456.000;247.000;1405.000;715.000;690.000;1279.000;641.000;638.000;126.000;74.000;52.000;111.000;98.000;20.000;78.000;13.000;1141.000;130.000;0.000;5.000;3.000;37.000;88.000;1.000;1397.000;8.000;2.000;6.000;0.000;1405.000;25.000;113.000;17.000;10.000;1237.000;3.000
977010101;97701;4;2617.208;320.864;1819.454;476.890;1433.634;164.691;998.886;270.057;1183.574;156.173;820.568;206.833;2279.004;223.469;1715.535;340.000;1295.477;117.082;973.312;205.084;983.527;106.387;742.223;134.916;2231.582;215.544;1684.878;331.160;1271.785;112.118;959.494;200.173;959.797;103.426;725.384;8.915;130.987;14.823;47.422;3.944;7.925;7.917;30.658;2.962;8.840;368.023;4.919;193.708;3.944;446.645;535.325;291.529;225.473;218.301;338.204;138.157;200.047;89.455;44.640;44.815;79.698;41.326;38.372;169.052;52.191;116.861;34.756;469.296;128.652;411.030;614.363;570.368;2183.939;34.756;469.296;128.652;396.151;599.408;555.676;2281.872;1299.425;982.447;1486.845;820.853;665.992;795.026;478.572;316.454;144.380;76.221;18.736;57.485;68.159;1228.657;237.169;0.000;1.972;19.048;504.662;289.382;0.982;2256.193;25.679;0.000;18.789;6.890;2228.426;103.701;29.609;4.922;361.376;1698.908;29.909
977010102;97701;4;2032.102;285.068;1365.424;381.610;1092.542;151.612;746.630;194.300;939.560;133.455;618.794;187.311;1774.508;208.452;1301.755;264.301;994.645;120.789;724.872;148.984;779.863;87.662;576.883;115.317;1743.788;206.472;1279.919;257.396;981.757;120.789;714.937;146.030;762.031;85.683;564.982;5.953;111.366;4.963;30.720;3.951;1.979;2.992;21.836;1.982;6.905;247.320;6.913;76.350;3.966;375.539;428.350;256.120;208.389;182.440;257.594;97.897;159.697;66.689;22.898;43.791;66.001;34.481;31.519;124.905;40.518;84.386;4.997;327.055;138.687;421.830;563.521;428.701;1865.066;4.997;327.055;138.687;421.830;553.677;418.819;1800.968;1007.439;793.529;1151.671;622.988;528.683;649.296;384.451;264.845;117.594;63.402;24.869;38.533;54.192;881.888;263.853;0.000;2.954;2.977;457.490;189.812;1.994;1776.266;24.702;0.000;12.811;11.891;1929.886;116.193;193.820;4.885;522.048;1092.940;0.000
977010103;97701;4;3403.980;494.825;2318.218;590.937;1848.651;254.078;1261.921;332.652;1555.330;240.748;1056.297;258.284;3000.780;379.482;2173.551;447.747;1687.242;197.418;1215.375;274.449;1313.538;182.064;958.176;173.297;2946.382;373.514;2131.037;441.831;1670.402;196.405;1201.519;272.477;1275.980;177.108;929.518;8.862;169.354;12.854;54.398;2.977;5.968;14.800;42.514;3.966;5.915;385.419;6.966;142.575;3.974;490.304;729.901;512.042;356.202;384.335;403.201;161.409;241.792;100.506;43.802;56.704;69.982;36.460;33.522;232.713;81.147;151.566;74.435;550.385;356.427;581.651;826.963;659.816;3014.996;74.435;545.425;356.427;576.729;807.086;654.894;3010.358;1709.787;1300.572;1891.134;1006.713;884.422;1119.224;703.074;416.150;192.033;93.274;16.977;76.297;98.759;1337.203;502.204;0.982;0.000;50.746;850.518;267.724;0.982;2986.582;23.776;0.000;16.833;6.943;3084.170;113.998;191.045;4.922;442.323;2331.881;0.000
978010101;97801;1;2308.958;394.305;1414.403;500.251;1096.079;207.031;653.586;235.462;1212.879;187.274;760.817;264.789;1680.147;171.689;1163.965;344.492;791.274;91.746;531.216;168.312;888.873;79.944;632.749;176.180;1060.416;64.939;758.899;236.578;537.324;38.931;370.344;128.050;523.092;26.008;388.556;171.723;108.528;122.373;619.730;24.941;106.751;11.890;405.066;2.942;107.914;496.117;247.294;109.512;38.569;447.553;345.303;110.313;105.654;65.695;628.811;304.805;324.006;206.909;109.101;97.808;46.850;32.883;13.967;375.052;162.821;212.232;7.169;159.614;71.711;218.433;556.292;414.678;952.744;7.169;132.147;71.711;193.017;314.350;234.350;1143.328;591.592;551.736;858.261;410.471;447.790;285.067;181.121;103.946;163.008;140.463;44.696;95.767;22.545;637.784;205.635;9.389;5.453;0.000;199.147;83.103;2.817;1072.011;71.317;0.000;14.995;56.321;1044.171;83.224;55.191;15.813;49.166;674.466;166.311
978010102;97801;2;1324.119;239.306;773.986;310.827;653.316;122.583;345.403;185.330;670.803;116.723;428.582;125.498;1064.698;114.757;713.557;236.383;528.783;61.691;323.634;143.458;535.914;53.066;389.924;92.925;736.601;60.293;483.452;192.855;411.076;36.260;249.287;125.528;325.525;24.033;234.165;90.630;67.327;87.022;328.097;21.076;54.464;7.883;230.105;0.000;43.528;239.253;81.605;105.745;39.881;241.700;221.080;106.302;72.378;78.241;259.421;124.533;134.888;115.334;54.494;60.840;16.271;14.271;2.000;127.816;55.768;72.048;4.291;146.878;105.291;213.924;259.811;261.220;758.823;4.291;132.661;95.250;190.703;154.001;181.917;777.564;440.110;337.454;573.860;291.806;282.054;203.703;148.303;55.400;91.046;73.420;23.382;50.038;17.625;441.596;131.264;0.000;0.000;1.000;128.354;75.349;0.000;722.475;55.089;0.000;3.580;51.508;798.295;31.796;132.904;5.911;23.774;509.914;93.996
978010103;97801;2;1001.412;157.896;627.641;215.875;467.270;73.479;285.818;107.973;534.142;84.417;341.823;107.902;763.396;69.782;544.140;149.474;374.960;39.255;254.155;81.550;388.436;30.527;289.985;67.924;497.794;34.660;350.024;113.110;255.163;13.405;177.171;64.586;242.631;21.254;172.853;36.726;48.524;55.208;265.602;11.853;35.122;4.692;194.116;0.000;36.364;238.708;127.339;68.030;29.785;151.939;177.061;55.144;46.856;25.658;238.016;92.310;145.706;79.219;34.974;44.244;14.661;6.501;8.161;144.136;50.835;93.301;8.583;65.064;25.809;47.141;236.830;179.159;390.875;8.583;60.773;25.809;31.189;178.207;86.315;518.156;272.707;245.449;418.610;198.303;220.307;99.546;74.404;25.142;80.512;52.668;13.582;39.087;27.843;300.208;111.242;0.000;3.580;3.580;64.555;34.991;0.000;442.805;75.351;0.000;8.634;66.716;411.479;35.979;81.423;6.000;6.970;236.429;44.677
978010104;97801;1;1125.243;182.230;657.601;285.412;521.918;91.071;272.612;158.234;603.326;91.159;384.989;127.178;814.274;53.675;558.775;201.825;390.835;36.393;232.065;122.377;423.440;17.282;326.710;79.447;522.189;38.649;363.447;120.093;261.587;26.185;155.999;79.403;260.601;12.464;207.448;68.017;40.690;37.743;292.086;2.817;15.026;3.000;195.328;0.000;81.731;322.234;160.364;55.604;20.145;178.283;134.456;50.000;50.956;22.741;310.969;131.083;179.886;107.060;51.861;55.199;9.626;5.809;3.817;194.283;73.413;120.870;4.991;59.163;42.129;134.545;321.013;222.631;566.048;3.792;27.858;34.460;130.109;214.166;155.661;547.979;275.328;272.651;476.298;232.072;244.226;71.681;43.257;28.425;80.155;78.266;36.849;41.417;1.889;363.087;101.942;11.269;0.000;0.000;51.418;20.263;0.000;507.688;40.291;0.000;0.000;40.291;591.505;9.787;109.590;4.237;11.822;379.893;76.175
978010106;97801;1;1273.574;207.157;768.347;298.070;583.233;94.229;339.780;149.223;690.341;112.928;428.566;148.847;960.201;90.745;644.011;225.445;456.678;40.721;303.608;112.349;503.522;50.024;340.403;113.096;668.488;44.826;463.469;160.194;334.234;13.044;224.838;96.352;334.254;31.782;238.632;50.513;63.841;39.359;291.713;25.852;45.919;10.978;180.542;2.755;65.251;331.143;139.643;45.244;22.613;238.255;164.147;97.518;43.643;40.251;313.373;126.555;186.819;113.502;46.027;67.475;22.480;14.216;8.264;177.391;66.312;111.079;3.792;48.006;27.293;93.526;413.577;236.697;607.727;3.792;31.843;27.293;81.921;289.734;173.144;698.886;352.476;346.411;611.742;299.669;312.073;87.144;52.807;34.337;107.398;97.158;38.104;59.054;10.240;435.010;146.576;23.585;2.755;3.817;69.395;15.670;2.080;675.301;23.585;0.000;15.424;8.161;641.204;17.465;36.980;3.792;18.962;437.308;126.697
978010107;97801;1;2268.677;367.130;1420.826;480.721;1100.342;230.324;642.656;227.362;1168.336;136.806;778.170;253.359;1819.178;173.161;1305.031;340.986;867.696;107.294;600.765;159.637;951.482;65.867;704.266;181.349;1422.340;91.253;1051.615;279.471;665.328;54.048;479.631;131.649;757.012;37.205;571.984;142.109;147.822;72.067;396.839;10.954;81.908;16.437;253.416;23.286;61.515;299.906;88.264;145.586;43.722;564.728;411.108;145.457;154.533;97.861;449.499;232.645;216.854;192.909;120.091;72.818;74.495;40.962;33.533;182.095;71.593;110.502;10.130;202.540;133.528;432.375;521.571;315.924;1394.352;10.130;194.045;115.349;409.791;440.727;224.310;1483.428;703.193;780.236;1106.922;447.144;659.778;376.507;256.049;120.458;113.893;83.615;27.275;56.340;30.278;939.033;159.860;2.755;2.457;2.817;241.140;129.670;5.696;1426.585;56.843;0.000;9.090;47.754;1454.303;18.821;91.463;2.559;22.418;1265.454;53.589
978010109;97801;1;2038.510;467.494;1216.321;354.695;888.193;235.170;504.792;148.231;1150.316;232.324;711.528;206.464;1526.881;208.286;1086.099;232.496;691.666;120.188;470.804;100.674;835.215;88.098;615.295;131.821;864.011;97.609;638.227;128.175;413.476;51.113;298.077;64.285;450.535;46.496;340.149;201.680;63.890;64.204;662.870;4.511;110.677;4.340;447.873;0.000;104.321;576.411;316.556;132.331;71.577;516.408;230.322;36.125;21.870;13.413;511.629;196.527;315.102;243.681;102.328;141.353;34.971;12.340;22.632;232.976;81.860;151.116;0.000;71.818;21.431;119.436;332.224;298.659;609.469;0.000;55.643;17.140;100.210;222.821;213.655;901.716;445.671;456.044;763.077;352.257;410.821;138.638;93.415;45.224;126.201;95.584;27.607;67.978;30.617;607.294;143.391;5.696;0.000;6.696;111.559;27.079;0.000;828.437;73.279;0.000;2.477;70.802;646.517;12.530;35.541;0.000;7.678;454.122;136.646
978010110;97801;1;1113.917;219.472;712.146;182.299;517.687;99.617;324.981;93.089;596.230;119.854;387.165;89.211;813.721;70.884;622.098;120.739;388.053;34.097;294.684;59.272;425.668;36.787;327.414;61.467;581.741;21.940;464.632;95.168;295.205;14.848;228.394;51.963;286.536;7.091;236.239;65.643;43.206;13.193;231.980;11.268;48.944;0.000;157.466;0.000;25.570;267.280;104.626;96.261;37.251;216.269;106.585;60.033;26.104;41.189;300.196;129.634;170.562;136.504;57.070;79.434;18.355;15.538;2.817;145.337;57.026;88.311;4.291;100.780;47.092;130.260;262.295;154.996;613.169;4.291;98.123;41.875;125.968;209.441;133.471;606.844;309.041;297.804;447.980;206.582;241.398;158.865;102.459;56.406;82.449;49.144;11.081;38.063;33.306;337.990;101.726;0.000;5.509;2.755;133.698;25.166;0.000;513.148;93.697;0.000;1.000;92.697;639.571;14.529;53.136;2.559;10.228;491.367;67.752
978010111;97801;Z;1838.452;315.070;1179.759;343.623;873.933;157.194;533.805;182.934;964.519;157.877;645.954;160.688;1418.893;163.962;1028.310;226.621;714.094;93.393;484.990;135.711;704.799;70.569;543.320;90.910;1084.634;93.079;804.901;186.654;569.181;50.396;401.136;117.650;515.453;42.683;403.766;87.476;69.004;53.723;334.259;19.217;70.883;15.786;223.409;9.264;39.967;379.866;125.519;55.382;23.274;339.966;301.070;142.277;105.893;94.440;419.559;159.839;259.720;144.349;60.859;83.491;52.018;22.225;29.793;223.192;76.755;146.437;1.459;147.619;74.531;254.204;535.596;233.297;1012.968;1.459;136.477;71.971;231.992;409.683;161.387;1114.617;586.896;527.721;882.394;427.061;455.333;232.223;159.835;72.388;132.679;99.336;27.300;72.036;33.343;675.099;193.460;2.755;2.755;8.326;173.920;58.303;0.000;1080.973;33.645;0.000;5.509;28.135;1045.232;72.947;80.355;3.559;7.395;755.021;125.955
978010112;97801;Z;1618.591;185.159;1169.832;263.599;783.097;77.057;581.210;124.830;835.494;108.103;588.622;138.769;1305.964;68.908;1069.294;167.762;665.334;33.261;554.653;77.420;640.631;35.647;514.642;90.342;1133.259;54.122;939.455;139.682;601.101;30.506;500.335;70.259;532.159;23.616;439.120;52.273;69.423;30.481;172.705;6.522;14.786;24.424;129.839;11.712;28.080;137.804;44.351;8.514;2.942;299.629;277.593;209.314;195.619;177.492;312.627;117.763;194.863;107.866;40.216;67.650;54.391;24.401;29.990;150.369;53.147;97.223;8.583;258.123;195.478;434.713;364.499;160.264;1270.637;8.583;251.272;189.127;371.172;321.141;129.342;1161.902;617.525;544.377;793.931;381.248;412.683;367.971;236.277;131.694;67.776;47.960;13.760;34.200;19.816;666.810;115.019;0.000;7.522;4.580;232.201;135.770;0.000;1095.860;66.042;0.000;11.152;54.890;1301.894;49.773;26.010;3.792;61.524;1123.109;37.685
978010113;97801;Z;926.275;155.985;585.406;184.884;454.862;91.385;262.967;100.510;471.414;64.600;322.439;84.374;695.758;55.753;506.802;133.204;347.746;35.187;232.338;80.221;348.012;20.566;274.463;52.983;598.388;36.851;441.377;120.160;299.815;20.866;205.250;73.699;298.573;15.986;236.127;38.125;46.461;14.621;97.370;6.522;18.902;2.942;65.425;0.000;13.044;109.137;26.639;30.603;8.522;133.478;153.004;127.584;93.886;48.067;230.517;107.116;123.401;85.889;44.796;41.092;27.114;15.347;11.767;117.514;46.972;70.542;4.291;144.093;120.716;212.285;312.018;86.495;804.689;4.291;140.300;120.716;203.703;254.933;80.745;622.834;312.220;310.614;455.851;226.940;228.911;166.983;85.280;81.703;5.730;4.730;0.000;4.730;1.000;373.108;81.166;0.000;1.577;0.000;87.283;79.699;0.000;603.184;19.650;0.000;4.942;14.708;834.789;9.542;45.093;3.792;4.291;760.693;11.377
978010114;97801;Z;1230.450;225.384;699.598;305.468;528.124;103.488;286.850;137.786;702.326;121.896;412.748;167.682;913.100;68.145;609.800;235.156;424.437;36.033;269.582;118.822;488.664;32.112;340.218;116.334;662.877;40.575;466.277;156.025;325.032;26.553;210.860;87.620;337.845;14.023;255.417;23.480;68.405;39.692;250.223;8.638;27.570;1.654;143.523;0.000;79.130;206.102;88.857;199.666;87.902;99.610;236.014;77.565;53.236;40.907;317.350;103.687;213.662;134.828;53.307;81.520;10.277;3.755;6.522;172.245;46.625;125.620;0.000;62.137;67.700;129.618;370.538;278.903;682.595;0.000;56.201;65.141;122.864;250.370;188.020;673.154;329.613;343.541;591.480;268.802;322.678;81.674;60.811;20.863;55.113;49.416;23.285;26.132;5.696;492.187;96.538;0.000;0.000;2.755;51.691;29.983;0.000;656.449;16.705;0.000;4.942;11.764;694.697;5.119;159.655;12.874;13.604;423.115;80.330
978010115;97801;Z;1300.032;267.149;781.339;251.544;595.271;161.178;313.004;121.089;704.761;105.971;468.336;130.454;976.295;87.249;675.966;213.079;425.243;54.663;274.049;96.531;551.052;32.587;401.917;116.548;702.984;54.922;511.680;136.382;301.467;25.153;207.652;68.663;401.517;29.770;304.028;73.770;67.719;56.098;273.311;14.023;32.327;2.817;164.287;2.817;76.697;193.547;71.509;132.888;52.277;216.259;223.767;136.094;36.121;37.620;323.737;170.028;153.709;157.104;87.156;69.948;4.353;1.536;2.817;162.280;81.336;80.944;0.000;53.776;65.830;192.269;387.528;265.182;722.965;0.000;44.463;63.271;161.864;278.057;175.311;731.344;315.555;415.789;652.818;267.618;385.200;78.526;47.937;30.589;82.552;63.336;24.785;38.551;19.215;539.593;113.225;0.000;0.000;0.000;52.337;24.691;1.498;706.897;24.447;0.000;5.634;18.812;755.664;47.438;132.568;8.583;6.753;500.807;59.514
978010116;97801;Z;1576.864;314.918;919.273;342.674;638.804;169.284;307.224;162.296;938.060;145.634;612.048;180.378;1124.383;101.069;783.476;239.838;440.410;49.939;269.737;120.734;683.972;51.130;513.739;119.104;776.429;50.188;549.369;176.872;348.175;31.728;209.230;107.217;428.254;18.460;340.139;96.559;69.655;75.726;347.954;21.152;50.881;22.094;234.107;1.000;62.967;234.869;88.800;78.862;42.624;302.372;241.795;151.178;82.714;32.592;452.482;198.394;254.088;139.965;68.228;71.737;15.086;0.000;15.086;297.431;130.166;167.264;1.459;70.202;46.822;278.663;640.555;342.919;1042.278;1.459;60.336;37.695;252.197;439.029;251.563;798.647;354.934;443.714;714.868;306.256;408.612;83.780;48.678;35.102;97.936;91.177;19.152;72.025;6.759;604.608;110.259;0.000;0.000;0.000;74.963;8.817;0.000;736.759;61.889;0.000;8.634;53.254;1072.491;96.816;56.576;3.377;27.929;740.011;147.783
